datetime,final_score,wealth,pct_starved,population,bushels,acres,last_turn,total_deaths,total_harvested,total_rats_eaten,total_starved,total_infants,total_lost_to_plague,total_land_purchases,total_land_sales
2024-03-09 13:54:32.014077,3,23.25,3,52,16,1209,11,23,35,212,22,105,126,262,53
2024-03-09 13:56:30.376027,3,14.182795698924732,3,93,0,1319,11,30,36,241,29,156,129,383,64
2024-03-09 13:58:21.237904,3,13.033333333333333,3,120,22,1564,11,37,40,224,36,61,0,638,74
2024-03-09 14:00:19.668485,3,12.14018691588785,3,107,8,1299,11,31,36,234,30,93,51,384,85
2024-03-09 14:02:14.540605,3,30.825,3,40,1,1233,11,34,33,241,33,79,101,378,145
2024-03-09 14:04:09.309282,3,27.2,3,45,15,1224,11,28,34,247,27,70,93,311,87
2024-03-09 14:06:05.658760,3,14.806451612903226,3,93,16,1377,11,29,35,227,28,118,92,478,101
2024-03-09 14:07:57.917252,3,17.376623376623378,3,77,2,1338,11,28,37,229,27,107,98,391,53
2024-03-09 14:09:54.321410,3,13.870588235294118,3,85,7,1179,11,36,32,276,35,85,60,344,165
2024-03-09 14:11:51.360609,1,8.992063492063492,3,126,1,1133,11,40,34,214,39,70,0,316,183
2024-03-09 14:13:51.684329,3,16.225806451612904,3,62,6,1006,11,21,27,237,20,137,150,182,176
2024-03-09 14:15:45.926538,3,19.923076923076923,3,65,14,1295,11,25,37,231,24,127,133,386,91
2024-03-09 14:17:42.330963,3,14.505050505050505,3,99,0,1436,11,29,38,256,28,134,102,509,73
2024-03-09 14:19:38.704315,3,10.721739130434782,3,115,9,1233,11,33,32,215,32,105,53,374,141
2024-03-09 14:21:35.015710,3,14.047619047619047,3,84,0,1180,11,26,32,248,25,106,92,232,52
2024-03-09 14:23:35.867871,0,6.427272727272728,3,110,16,707,11,40,27,236,39,54,0,101,394
2024-03-09 14:25:32.359093,3,16.587628865979383,3,97,21,1609,11,34,38,220,33,99,64,687,78
2024-03-09 14:27:28.669621,3,23.653061224489797,3,49,7,1159,11,27,34,228,26,80,100,234,75
2024-03-09 14:29:22.036405,3,19.63888888888889,3,72,7,1414,11,28,41,223,27,140,136,544,130
2024-03-09 14:31:16.149751,3,37.72222222222222,3,36,10,1358,11,25,39,217,24,86,121,414,56
2024-03-09 14:33:14.525018,3,12.463157894736842,3,95,12,1184,11,34,33,225,33,89,56,258,74
2024-03-09 14:35:09.432494,2,9.386861313868613,3,137,3,1286,11,41,35,213,40,82,0,401,115
2024-03-09 14:37:03.736287,3,18.734375,3,64,11,1199,11,26,36,217,25,132,138,248,49
2024-03-09 14:39:00.608844,3,19.454545454545453,3,55,18,1070,11,37,33,209,36,51,55,331,261
2024-03-09 14:40:55.372508,3,13.428571428571429,3,91,0,1222,11,27,32,234,26,116,94,363,141
2024-03-09 14:42:52.214333,3,33.972972972972975,3,37,24,1257,11,27,34,263,26,98,130,393,136
2024-03-09 14:44:46.539169,3,12.053097345132743,3,113,26,1362,11,30,37,200,29,99,52,439,77
